# x u(x,t)
1.977539062500000000e-02 9.777542135536421153e-01
1.989746093750000000e-02 9.776056051723012175e-01
2.001953125000000000e-02 9.774559576751681300e-01
2.014160156250000000e-02 9.773052673319027051e-01
2.026367187500000000e-02 9.771535303944737239e-01
2.038574218750000000e-02 9.770007430972618145e-01
2.050781250000000000e-02 9.768469016571579289e-01
2.062988281250000000e-02 9.766920022736658158e-01
2.075195312500000000e-02 9.765360411290029408e-01
2.087402343750000000e-02 9.763790143882035144e-01
2.099609375000000000e-02 9.762209181992215212e-01
2.111816406250000000e-02 9.760617486930346365e-01
2.124023437500000000e-02 9.759015019837473659e-01
2.136230468750000000e-02 9.757401741686978491e-01
2.148437500000000000e-02 9.755777613285609995e-01
2.160644531250000000e-02 9.754142595274575278e-01
2.172851562500000000e-02 9.752496648130575263e-01
2.185058593750000000e-02 9.750839732166907137e-01
2.197265625000000000e-02 9.749171807534522394e-01
2.209472656250000000e-02 9.747492834223125957e-01
2.221679687500000000e-02 9.745802772062265307e-01
2.233886718750000000e-02 9.744101580722426270e-01
2.246093750000000000e-02 9.742389219716136584e-01
2.258300781250000000e-02 9.740665648399091658e-01
2.270507812500000000e-02 9.738930825971245930e-01
2.282714843750000000e-02 9.737184711477964161e-01
2.294921875000000000e-02 9.735427263811131660e-01
2.307128906250000000e-02 9.733658441710302256e-01
2.319335937500000000e-02 9.731878203763832946e-01
2.331542968750000000e-02 9.730086508410038526e-01
2.343750000000000000e-02 9.728283313938345112e-01
2.355957031250000000e-02 9.726468578490456984e-01
2.368164062500000000e-02 9.724642260061513444e-01
2.380371093750000000e-02 9.722804316501275634e-01
2.392578125000000000e-02 9.720954705515301164e-01
2.404785156250000000e-02 9.719093384666132041e-01
2.416992187500000000e-02 9.717220311374493713e-01
2.429199218750000000e-02 9.715335442920486342e-01
2.441406250000000000e-02 9.713438736444801602e-01
2.453613281250000000e-02 9.711530148949936159e-01
2.465820312500000000e-02 9.709609637301395146e-01
2.478027343750000000e-02 9.707677158228944503e-01
2.490234375000000000e-02 9.705732668327822221e-01
2.502441406250000000e-02 9.703776124059991792e-01
2.514648437500000000e-02 9.701807481755380103e-01
2.526855468750000000e-02 9.699826697613136428e-01
2.539062500000000000e-02 9.697833727702882545e-01
2.551269531250000000e-02 9.695828527965990595e-01
2.563476562500000000e-02 9.693811054216847634e-01
2.575683593750000000e-02 9.691781262144139042e-01
2.587890625000000000e-02 9.689739107312125288e-01
2.600097656250000000e-02 9.687684545161945326e-01
2.612304687500000000e-02 9.685617531012913339e-01
2.624511718750000000e-02 9.683538020063817697e-01
2.636718750000000000e-02 9.681445967394237684e-01
2.648925781250000000e-02 9.679341327965865771e-01
2.661132812500000000e-02 9.677224056623826565e-01
2.673339843750000000e-02 9.675094108098011292e-01
2.685546875000000000e-02 9.672951437004417841e-01
2.697753906250000000e-02 9.670795997846497460e-01
